"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60","Sample61","Sample62","Sample63","Sample64","Sample65","Sample66","Sample67","Sample68","Sample69","Sample70","Sample71","Sample72","Sample73","Sample74","Sample75","Sample76","Sample77","Sample78","Sample79","Sample80","Sample81","Sample82","Sample83","Sample84","Sample85","Sample86","Sample87","Sample88","Sample89","Sample90","Sample91","Sample92","Sample93","Sample94","Sample95","Sample96","Sample97","Sample98","Sample99","Sample100"
"Feature126",0,0,0,0,0,0,2700,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,22,0,0,138,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0
"Feature127",33,18,2,0,4,0,1207,3,0,0,0,2,0,0,0,0,7,0,0,427,0,35,0,0,3,0,0,0,0,0,0,0,11,8,0,14,1,0,17,0,0,0,3,751,0,0,2,0,42,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,9,0,0,0,0,0,5,1,0,0,30,0,0,0,30,0,0,0,0,0,0,0,39,0,0,0,4,0,0,10,0
"Feature128",89,625,201,19,0,900,2250,277,1942,764,1520,55,41,325,341,1092,7,1,108,497,2347,669,26,2151,9,12715,154,20,1,74,52,2322,315,136,1,24,64,999,31,2459,960,94,0,44131,575,140,65,16,749,38,213,150,3073,5,1076,33,3690,137,25,154,2,1713,2665,104,4,64887,31,214,62,11,175,471,777,396,48,143,0,1097,151,0,47,12,7067,2017,0,629,103,0,18,3600,268,928,26,0,949,110,33,634,229,183
"Feature129",162,287,18,69,44,385,1850,0,0,0,0,0,0,165,160,0,0,0,843,606,109,310,7,1332,30,0,0,5,0,0,1615,0,138,0,0,139,35,61,0,0,0,23,17,1699,63,363,0,0,0,0,382,0,390,0,63,39,0,0,165,0,0,0,0,39,103,0,6,31,0,51,317,840,0,1293,0,188,0,0,0,710,0,0,1423,1013,70,0,56,0,0,404,70,0,86,0,59,0,0,0,0,0
"Feature130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Feature131",0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,5,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Feature132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature134",0,13,0,0,0,0,0,7,0,0,0,0,0,65,0,0,0,0,1,0,0,6,0,127,0,0,0,0,0,0,0,0,0,123,0,0,0,172,0,0,0,0,0,0,2,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,41,0,0,0,32,2,0,353,0,0,0,0,0,0,0,0,127,0,0,0
"Feature135",0,0,0,0,0,0,0,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,0,0,92,0,0,0,16,0,40,4,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,47,0,0,0,0
"Feature136",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
"Feature137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature138",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature139",0,41,0,0,0,0,0,2294,0,0,85,6,542,10,0,0,27,6,93,450,47,219,11,0,147,23,17,0,47,15829,34318,2178,3714,0,26,0,0,114,0,2,0,0,7,0,14,0,0,6,0,8,52,79,0,65,311,0,2102,192,18,0,6,3291,1226,12,1913,46,11,0,20,8,575,0,544,0,0,55,0,0,153,0,731,83,0,472,272,6,24,4620,0,0,81,49,0,0,10943,37,447,26,122,0
"Feature140",872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,0,0,35,0,0,0,0,51,15,0,2818,0,304,0,0,1139,14,0,559,0,0,0,0,0,460,833,0,6,0,0,190,1431,0,79,136,0,0,0,0,0,300,0,3686,431,0,2765,0,0,0,91,591,1733,0,0,129,4646,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,610,58,148,0
"Feature141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,0,0,0,0,0
"Feature142",25,174,3,0,3,171,0,0,1172,5,158,27,0,118,51,3928,0,4,0,193,0,0,0,416,16,164,0,8,2,0,0,0,175,1,4,0,1,69,1093,39,11,2,0,3989,492,41,40,3,10,203,557,1490,0,13,42,42,789,1050,24,56,1812,809,345,355,117,561,1,0,13,81,460,0,0,0,17,608,0,129,12,0,84,60,0,18820,34,210,0,3194,6,225,23,0,13,3,0,0,211,20,258,0
"Feature143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,2,0,1,0,51,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,0,0,0,0,2,5,8,65,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0
"Feature144",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"Feature145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature146",0,45,8,0,0,7,0,0,0,0,8,3,0,0,0,29,0,0,21,0,0,0,0,90,3,0,0,0,0,28,0,8,0,0,0,0,0,30,299,0,3,0,4,145,0,4,3,0,0,0,0,9,0,0,0,10,0,0,22,1,0,0,0,0,1,0,0,0,1,186,67,10,0,4,181,1,0,0,11,9,0,0,109,67,0,0,0,0,4,0,0,0,0,1,7,0,94,0,0,0
"Feature147",0,31,0,0,2325,841,14,25057,0,27013,0,108769,0,289,572,0,148,2,0,0,0,438,0,0,348,0,0,12677,0,4,0,8353,121,286,0,0,76624,0,0,1570,0,0,1,0,0,293,0,1,0,13,0,0,296,3,0,0,7,8,0,0,0,23,0,135,0,87,6538,0,0,0,0,0,0,0,0,0,2,0,0,0,1498,0,6163,1597,0,0,0,0,0,63,0,1,6,0,0,0,0,0,0,0
"Feature148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature149",0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,14,0,0,0,3,45,0,2,0,0,41,6,0,0,0,0,1,0,0,8,0,0,0,180,0,0,0,0,20,3,40,0,19,0,0,0,0,10,0,21,0,0,0,0,8,120,5,22,8,0,0,0,0,456,0,0,0,115,3,0,8,4,0,0,0,0,0,54,0,0,0,1,0,0,0,1,0,0,2,0
"Feature150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
